[2026-01-24 15:50:45,177]20 root - INFO - Initiate the data ingestion
[2026-01-24 15:51:08,411]67 root - INFO - Performed train test split on the dataframe
[2026-01-24 15:51:08,411]69 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-01-24 15:51:08,413]77 root - INFO - Exporting train and test file path.
[2026-01-24 15:51:08,450]86 root - INFO - Exported train and test file path.
[2026-01-24 15:51:08,450]22 root - INFO - Data Initiation Completed
[2026-01-24 15:51:08,450]26 root - INFO - Initiate the data Validation
[2026-01-24 15:51:08,532]34 root - INFO - Required number of columns:2
[2026-01-24 15:51:08,532]35 root - INFO - Data frame has columns:31
[2026-01-24 15:51:08,532]34 root - INFO - Required number of columns:2
[2026-01-24 15:51:08,532]35 root - INFO - Data frame has columns:31
[2026-01-24 15:51:08,648]28 root - INFO - data Validation Completed
